Generation, Population, AVG_speed, AVG_size, AVG_sense 
329,46,1.4,9.6,109.7
330,43,1.5,9.9,111.2
331,47,1.6,8.6,112.9
332,42,1.5,9.8,111.7
333,43,1.5,9.1,111.1
334,39,1.4,10.2,115.9
335,42,1.5,9.5,115
336,49,1.5,9.6,109.7
337,46,1.5,9.7,116.4
338,45,1.5,10,109.7
339,48,1.4,10.4,112.6
340,43,1.5,9.3,115.4
341,41,1.7,9.7,111.9
342,47,1.5,10,113.7
343,45,1.4,9.6,112.1
344,49,1.5,10.1,109
345,43,1.5,9.4,114.1
346,49,1.5,9.6,111.7
347,53,1.4,9.5,114.8
348,50,1.4,9.8,110.6
349,45,1.5,9.2,113.4
350,46,1.5,9.9,114.6
351,37,1.7,10.2,109.2
352,38,1.6,9.9,110.8
353,37,1.6,9.4,119
354,50,1.6,10.1,112.5
355,47,1.4,10.3,113.2
356,47,1.5,9.9,111.2
357,47,1.5,8.9,110.5
358,48,1.6,8.9,113.3
359,44,1.5,9.5,111.4
360,46,1.5,9.2,110.5
361,46,1.5,9.1,114.7
362,39,1.4,9.5,108.5
363,45,1.5,9.4,117.3
364,47,1.5,9.3,106.8
365,49,1.5,9.1,112.5
366,52,1.5,9.9,114.3
367,48,1.5,10.1,112.9
368,37,1.4,9.6,117.8
369,48,1.5,9.6,111.4
370,41,1.6,10,112.1
371,47,1.5,9.3,117.1
372,47,1.5,10.1,114.2
373,47,1.4,9.8,112.8
374,45,1.5,9.6,111
375,44,1.5,9.7,112.7
376,46,1.6,9.5,114.4
377,49,1.5,9.6,113
378,49,1.6,9,118
379,45,1.5,8.9,117.5
380,48,1.5,8.5,111.7
381,48,1.5,9.2,114.1
382,44,1.5,9,109.3
383,48,1.6,8.9,111.4
384,45,1.5,10.4,111.8
385,46,1.6,9.6,115
386,42,1.6,9.2,109.9
387,46,1.5,9.4,111
388,44,1.4,9.2,114.3
389,50,1.5,9.4,108.8
390,51,1.5,9.2,113.1
391,46,1.5,9,111.6
392,45,1.4,8.8,107.2
393,45,1.5,9.8,104.2
394,48,1.5,9.3,117
395,47,1.4,10.1,111.2
396,36,1.5,9.6,121.8
397,50,1.4,9.6,112.7
398,48,1.3,9.9,107.5
399,50,1.5,9.1,111.7
400,43,1.5,9.6,112
401,48,1.6,9.3,114.2
402,48,1.5,9.8,116.1
403,46,1.5,10,113.5
404,45,1.4,9.3,108.4
405,45,1.5,9.3,112.3
406,44,1.5,9.7,118.8
407,48,1.5,10.2,115.2
408,48,1.5,9.4,110
409,42,1.4,10,113.9
410,48,1.6,9.6,112.8
411,45,1.5,9.4,111.8
412,49,1.6,10.3,112.6
413,38,1.6,8.9,107.6
414,43,1.5,10.4,111.2
415,48,1.5,9.5,109.3
416,47,1.5,9.4,116.7
417,47,1.5,9,112.6
418,49,1.4,9.4,111.1
419,48,1.5,9.8,117
420,44,1.6,9.3,112.2
421,47,1.6,10.2,109
422,45,1.6,10.2,109.1
423,37,1.3,9.4,113.8
424,45,1.4,9.9,114.8
425,44,1.5,9.8,112.2
426,48,1.5,10.4,116.1
427,43,1.4,9.5,117.5
428,46,1.3,9.7,113
429,49,1.6,9.7,109.2
430,46,1.6,9.3,121.2
431,46,1.5,9.6,108.2
432,46,1.5,9.7,109.9
433,39,1.6,10,114.5
434,42,1.4,9.7,112.6
435,45,1.4,9.5,112
436,38,1.6,8.8,114.6
437,41,1.6,9.5,112
438,45,1.7,9.7,109.6
439,43,1.6,10,116.7
440,38,1.4,8.8,116
441,48,1.6,9.3,113.4
442,46,1.5,9.7,108.8
443,51,1.5,10.2,112.7
444,41,1.5,9.3,109.5
445,42,1.6,10.2,118.3
446,46,1.5,9.8,108.9
447,48,1.5,9.1,110.6
448,38,1.7,9.8,116.1
449,48,1.4,9.6,113.5
450,46,1.6,9.6,111.5
451,39,1.4,9.4,113.6
452,48,1.5,9,113.2
453,50,1.4,9.3,113.1
454,48,1.5,9.9,112.1
455,47,1.4,9.7,110.2
456,50,1.4,9.8,114
457,49,1.5,9.5,112.5
458,48,1.5,8.9,112.8
459,51,1.5,9.9,111.1
460,49,1.5,9.3,114.7
461,47,1.5,9.1,108.6
462,46,1.5,9.3,106.1
463,41,1.6,9.4,111.1
464,47,1.4,9.1,115
465,43,1.5,9.3,113.3
466,46,1.6,9.1,113.2
467,46,1.4,9.5,112.7
468,44,1.4,9.3,112.3
469,46,1.5,9.2,107
470,44,1.5,9.5,114
471,46,1.5,9.6,117.9
472,45,1.6,9.6,107.3
473,48,1.6,9.6,111.3
474,39,1.6,8.6,108.3
475,45,1.4,8.9,114.1
476,46,1.5,9.5,108.9
477,47,1.6,9.4,103.3
478,47,1.6,9.1,115.4
479,47,1.7,9.7,108.6
480,47,1.5,10.1,115
481,48,1.5,9.3,114.5
482,45,1.5,9.1,115.2
483,46,1.5,9.5,112.4
484,48,1.5,9.4,120.4
485,44,1.5,9.4,116.6
486,44,1.5,9.4,111.4
487,50,1.4,9.5,108
488,41,1.5,9.4,114.6
489,41,1.4,8.7,107.2
490,46,1.4,10,108.5
491,47,1.4,9.9,114.4
492,49,1.6,9.9,103.6
493,39,1.5,9.4,108.4
494,37,1.5,9.2,115.6
495,46,1.5,9.2,111.9
496,47,1.5,9.4,108.4
497,49,1.5,8.8,108.7
498,47,1.7,8.6,105.2
499,45,1.3,9.6,112.6
500,51,1.5,9.3,109.8
501,49,1.4,10.2,108.7
502,49,1.4,9.4,115.6
503,40,1.4,9.4,116.2
504,46,1.5,9.5,111.7
505,45,1.5,9,104.8
506,46,1.5,9.8,116
507,48,1.5,8.9,108.2
508,46,1.6,9.4,108.2
509,48,1.4,9.2,112.3
510,47,1.5,9.5,110.3
511,45,1.5,9.6,111.1
512,46,1.5,10.1,115
513,39,1.5,10.2,116
514,41,1.5,9.3,115.1
515,44,1.6,9.7,109
516,44,1.5,10.2,114.4
517,34,1.4,8.5,111.6
518,47,1.4,9.7,110.8
519,37,1.3,8.8,108.1
520,37,1.4,10.2,109.4
521,48,1.4,9.6,114.5
522,47,1.3,9.6,110.7
523,49,1.6,9,109.4
524,46,1.6,9.3,119.8
525,40,1.6,10.4,111.2
526,39,1.5,9.1,109.8
527,46,1.4,9.4,113.3
528,42,1.4,10,111.2
529,47,1.5,9.3,111
530,46,1.5,9.6,111.6
531,44,1.5,9.6,111.2
532,48,1.5,9.9,111.8
533,43,1.4,9.3,107
534,48,1.6,9.4,111.9
535,47,1.6,9.1,117
536,48,1.4,8.8,113.3
537,49,1.5,10.2,112.7
538,43,1.6,10,111.7
539,43,1.5,8.9,106.7
540,38,1.5,9.6,113.1
541,44,1.5,8.9,109.5
542,47,1.5,9.4,114.9
543,45,1.5,10,110.5
544,46,1.4,9.5,117.9
545,46,1.4,9.8,114.4
546,51,1.5,9.5,113.3
547,43,1.6,10,110.9
548,42,1.5,9.1,112.3
549,49,1.4,9.6,110.4
550,41,1.5,9.3,110.2
551,47,1.5,9.5,110.5
552,49,1.5,9.6,109.3
553,49,1.6,9.7,109.3
554,46,1.4,9.6,111.8
555,41,1.5,9.4,116.7
556,42,1.6,9.2,118.7
557,43,1.6,9.2,111.7
558,47,1.5,9,110.4
559,48,1.5,9,112.8
560,48,1.6,9.7,108.7
561,49,1.6,9.5,111.4
562,41,1.5,10.1,116.9
563,45,1.5,9.8,118.2
564,48,1.4,9.4,115.8
565,47,1.5,9,111.4
566,48,1.5,10.1,110.6
567,47,1.5,9.4,110.3
568,50,1.7,9.2,114
569,43,1.4,10,107.7
570,44,1.7,9.7,108
571,49,1.5,9.6,113
572,44,1.5,9.1,114.1
573,49,1.6,10.6,114.9
574,39,1.4,9.9,120.9
575,40,1.4,9.5,116.5
576,48,1.5,9.7,113.6
577,39,1.6,9.4,114.3
578,48,1.5,9.6,110.3
579,48,1.5,10.1,113.3
580,47,1.5,9.5,115
581,50,1.5,9.3,110.2
582,49,1.5,9.2,111.4
583,40,1.6,8.6,109.2
584,41,1.5,9.8,107.2
585,46,1.3,9.5,112.2
586,40,1.6,10,113
587,40,1.6,9.6,111.6
588,48,1.6,9.5,115.6
589,50,1.5,9.3,112
590,47,1.6,9.3,110.4
591,44,1.5,9.4,112.6
592,43,1.5,9.7,108.7
593,46,1.4,9.7,112.5
594,48,1.6,8.8,109.3
595,50,1.3,9.5,111.5
596,51,1.5,9.6,112.6
597,45,1.5,9.4,108.9
598,46,1.5,9.1,112.2
599,49,1.6,9,111.1
600,52,1.6,9,113.3
601,45,1.5,10.3,115.8
602,39,1.5,9.1,117.7
603,44,1.5,9.5,111.7
604,32,1.6,9.6,114.7
605,48,1.5,9.5,112.9
606,48,1.5,9.1,112.4
607,44,1.6,9.1,113.6
608,51,1.4,9.5,111.6
609,45,1.6,9.3,109.6
610,46,1.5,10.1,112.9
611,36,1.4,9.6,105.2
612,41,1.3,8.9,113.7
613,49,1.6,9.6,107.7
614,48,1.5,9.6,104.3
615,47,1.4,9.6,117.5
616,46,1.6,8.7,113.6
617,43,1.6,9.1,113.2
618,47,1.5,9.6,116.4
619,48,1.5,9.7,109.7
620,49,1.5,8.9,111.7
621,51,1.6,10.2,114.3
622,42,1.5,9.6,113.3
623,43,1.5,9.6,111.1
624,46,1.3,9.1,117.2
625,46,1.5,9.8,115.5
626,38,1.4,9.9,116.6
627,46,1.5,9.4,119.9
628,46,1.6,9.3,107.6
629,36,1.7,9.4,110.5
630,48,1.5,9.1,115.5
631,45,1.6,9.6,116
632,43,1.5,10,117.2
633,45,1.4,9.2,104.2
634,40,1.7,10,113.3
635,39,1.4,9.2,109.1
636,46,1.5,10,114.4
637,49,1.5,9.6,107.9
638,40,1.5,9.7,108.4
639,49,1.5,9.4,107.3
640,45,1.5,9.2,112.1
641,44,1.6,9.5,114.4
642,47,1.6,9.3,110.9
643,42,1.4,9,113.7
644,49,1.5,9.6,120.1
645,44,1.4,9.2,111.5
646,42,1.6,9.2,114.7
647,47,1.5,9.8,114.7
648,44,1.6,8.9,113
649,51,1.5,9.5,108.5
650,54,1.5,9.2,107.9
651,51,1.6,9.8,108.1
